Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL5866444,6.4,-1.31,495.47
CHEMBL5870724,7.76,2.48,632.66
CHEMBL5877783,7.8549999999999995,1.75,583.57
CHEMBL5879358,6.93,2.56,552.58
CHEMBL5880172,7.92,2.06,443.53
CHEMBL5880792,8.17,3.69,604.63
CHEMBL5882560,5.96,3.65,531.65
CHEMBL5895953,8.193142857142856,3.14,595.6
CHEMBL5896646,8.54,2.76,537.64
CHEMBL5897197,6.1,-0.09,560.49
CHEMBL5909173,6.47,0.39,490.52
CHEMBL5910424,7.91,1.85,553.63
CHEMBL5916386,8.62,1.09,575.65
CHEMBL5917527,8.29,2.19,635.72
CHEMBL5919407,6.92,2.07,511.61
CHEMBL592131,7.07,2.1,389.82
CHEMBL5928769,7.69,4.2,563.72
CHEMBL5930084,7.68,3.55,586.64
CHEMBL5940586,7.89,3.54,621.55
CHEMBL5942454,7.51,0.43,499.55
CHEMBL595,6.94,3.16,356.45
CHEMBL5951635,6.39,1.98,502.58
CHEMBL5953222,8.05,3.17,521.64
CHEMBL5953432,6.54,4.0,543.69
CHEMBL5955489,8.506363636363638,2.68,525.48
CHEMBL5964026,7.85,2.52,619.72
CHEMBL5976666,8.22,2.8,549.47
CHEMBL5977375,8.21,1.79,574.58
CHEMBL5978755,7.7,3.27,609.74
CHEMBL5980012,6.62,2.7,552.58
CHEMBL5980100,8.39,3.6,593.74
CHEMBL5991127,6.91,3.03,536.58
CHEMBL5996671,7.88,3.8,600.66
CHEMBL6010027,8.26,1.46,608.58
CHEMBL6012852,8.0,1.55,607.66
CHEMBL6021374,8.053333333333333,2.11,569.59
CHEMBL6023162,6.84,2.56,552.58
CHEMBL6026681,8.6,1.82,616.64
CHEMBL6028783,8.006666666666666,2.98,645.63
CHEMBL6029542,7.47,1.75,583.57
CHEMBL6031789,7.22,1.16,601.63
CHEMBL6035165,7.75,4.59,577.74
CHEMBL6040474,7.95,2.87,575.66
CHEMBL6045543,8.1,3.25,565.69
CHEMBL6048878,7.16,3.25,568.6
CHEMBL6050848,8.02,2.77,558.58
CHEMBL6055558,7.57,2.12,555.56
CHEMBL6063983,8.08,1.87,585.08
